transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,transaction_amount,payment_method,card_number,ingestion_timestamp,run_id
T0000001,C00612,P0750,2026-02-27,3,64.93,194.79,Cash,4708537785928487653,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000002,C05219,P0005,2024-09-11,5,1132.26,5661.3,Debit Card,213120784810334,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000003,C09035,P0472,2025-03-07,4,439.3,1757.2,UPI,5481780270928991,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000004,C08928,P0624,2025-04-12,2,3222.89,6445.78,UPI,372762801073946,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000005,C06531,P0539,2025-12-22,4,4164.0,16656.0,UPI,6594554104958496,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000006,C02061,P0618,2025-10-26,2,664.6,1329.2,Cash,3554847060412341,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000007,C00723,P0045,2026-05-19,5,1900.87,9504.35,Debit Card,4941118223560,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000008,C08660,P0048,2025-12-25,4,4649.04,18596.16,UPI,676271653351,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000009,C00194,P0549,2025-03-13,1,3093.31,3093.31,Debit Card,3551095995819908,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000010,C02224,P0208,2025-09-22,4,4710.28,18841.12,UPI,4543443726717585657,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000011,C04452,P0721,2026-01-27,1,3074.22,3074.22,Credit Card,3500011168517387,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000012,C08916,P0929,2024-09-03,1,1663.63,1663.63,Credit Card,4836954595011560,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000013,C00482,P0477,2026-03-18,5,558.88,2794.4,Debit Card,6011807419214335,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000014,C00410,P0781,2025-12-14,4,4862.84,19451.36,Debit Card,4294789374046766,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000015,C09758,P0903,2025-11-20,5,3252.65,16263.25,Debit Card,2474664371899648,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000016,C03038,P0162,2026-06-01,3,4791.93,14375.79,UPI,3573372915878494,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000017,C08812,P0902,2026-05-05,3,3856.32,11568.96,UPI,30255695163224,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000018,C06926,P0155,2024-12-15,4,170.91,683.64,Debit Card,676393882839,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000019,C01276,P0572,2026-02-04,1,4869.93,4869.93,Credit Card,4580267829385777,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000020,C09740,P0487,2025-08-19,2,2335.63,4671.26,UPI,676315346418,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000021,C02370,P0950,2025-07-14,1,3817.23,3817.23,Cash,180028262434254,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
T0000022,C06396,P0540,2026-03-13,4,3095.97,12383.88,UPI,4680874836123668,2026-08-09T05:27:04.070750+00:00,run_20260809_052657_cc1b16cd
