emp_id,name,age,department,city,salary,experience,performance
1,Employee_1,28,Engineering,Chennai,57098,6,B
2,Employee_2,27,Support,Pune,102397,3,A
3,Employee_3,22,Engineering,Bengaluru,55495,0,A
4,Employee_4,56,HR,Kolkata,53893,32,C
5,Employee_5,21,Operations,Hyderabad,116506,0,C
6,Employee_6,38,HR,Bengaluru,125072,15,A
7,Employee_7,26,Sales,Pune,72052,3,C
8,Employee_8,23,Support,Nagpur,95284,2,D
9,Employee_9,26,Marketing,Chennai,133711,0,C
10,Employee_10,57,HR,Pune,31006,31,B
11,Employee_11,39,Engineering,Bengaluru,138571,18,D
12,Employee_12,38,Sales,Delhi,46319,15,C
13,Employee_13,34,Support,Chennai,116988,8,A
14,Employee_14,59,Support,Hyderabad,95010,33,B
15,Employee_15,31,Sales,Kolkata,60382,5,B
16,Employee_16,41,Operations,Mumbai,55021,20,C
17,Employee_17,46,Finance,Pune,52653,21,C
18,Employee_18,34,Support,Nagpur,76856,8,D
19,Employee_19,30,Finance,Hyderabad,57325,4,C
20,Employee_20,58,Sales,Kolkata,72447,36,B
21,Employee_21,53,Sales,Pune,124061,32,A
22,Employee_22,30,Support,Hyderabad,128819,4,D
23,Employee_23,59,Engineering,Kolkata,75019,34,D
24,Employee_24,54,Finance,Mumbai,114166,28,A
25,Employee_25,55,Operations,Chennai,125741,29,C
26,Employee_26,28,Finance,Kolkata,45730,4,A
27,Employee_27,37,Marketing,Hyderabad,91542,16,C
28,Employee_28,53,Marketing,Bengaluru,45032,30,B
29,Employee_29,55,Operations,Mumbai,103504,32,D
30,Employee_30,22,Engineering,Delhi,140175,0,B
31,Employee_31,24,HR,Pune,36226,0,D
32,Employee_32,25,Operations,Hyderabad,41828,0,D
33,Employee_33,56,HR,Chennai,94163,31,D
34,Employee_34,34,Marketing,Bengaluru,118447,11,D
35,Employee_35,44,Sales,Nagpur,40860,22,B
36,Employee_36,25,Finance,Mumbai,102110,0,B
37,Employee_37,58,HR,Mumbai,34305,32,A
38,Employee_38,35,Engineering,Mumbai,137674,12,A
39,Employee_39,53,HR,Chennai,112684,29,B
40,Employee_40,55,HR,Nagpur,56850,31,D
41,Employee_41,33,Engineering,Pune,111374,9,C
42,Employee_42,48,Sales,Nagpur,138224,22,A
43,Employee_43,27,Engineering,Kolkata,120448,4,A
44,Employee_44,36,HR,Bengaluru,95292,12,B
45,Employee_45,48,HR,Chennai,85637,26,A
46,Employee_46,49,Operations,Pune,31630,23,A
47,Employee_47,26,Operations,Bengaluru,46798,2,D
48,Employee_48,51,HR,Kolkata,143284,30,B
49,Employee_49,45,Engineering,Kolkata,59760,21,C
50,Employee_50,48,Support,Nagpur,45289,26,C
51,Employee_51,34,Engineering,Mumbai,123038,11,A
52,Employee_52,24,Marketing,Nagpur,90909,0,B
53,Employee_53,24,Marketing,Pune,136587,2,A
54,Employee_54,59,Engineering,Bengaluru,77923,38,B
55,Employee_55,58,Marketing,Mumbai,106183,37,D
56,Employee_56,58,Marketing,Delhi,147513,35,B
57,Employee_57,41,HR,Chennai,76876,19,C
58,Employee_58,50,Finance,Pune,26220,26,A
59,Employee_59,25,Marketing,Bengaluru,91307,2,B
60,Employee_60,43,Engineering,Bengaluru,73434,20,B
61,Employee_61,49,Operations,Chennai,105173,23,A
62,Employee_62,56,Finance,Pune,148067,34,C
63,Employee_63,28,Engineering,Hyderabad,60697,5,B
64,Employee_64,42,HR,Chennai,91244,18,C
65,Employee_65,24,Engineering,Kolkata,133704,1,A
66,Employee_66,21,Finance,Hyderabad,108507,0,B
67,Employee_67,49,Marketing,Kolkata,98519,28,A
68,Employee_68,25,Support,Hyderabad,96511,4,C
69,Employee_69,58,Marketing,Hyderabad,81333,36,A
70,Employee_70,40,Finance,Mumbai,142823,17,B
71,Employee_71,36,Support,Pune,71357,11,D
72,Employee_72,60,Support,Hyderabad,146341,38,B
73,Employee_73,32,Sales,Mumbai,48509,6,C
74,Employee_74,47,Operations,Bengaluru,59970,25,A
75,Employee_75,45,Operations,Mumbai,137537,21,B
76,Employee_76,33,Operations,Nagpur,70830,10,B
77,Employee_77,35,Engineering,Bengaluru,77227,12,C
78,Employee_78,25,Operations,Chennai,71025,0,D
79,Employee_79,55,Finance,Mumbai,40118,32,B
80,Employee_80,58,Finance,Mumbai,39208,33,D
81,Employee_81,43,Support,Delhi,82199,18,A
82,Employee_82,45,Marketing,Bengaluru,58386,24,D
83,Employee_83,21,Marketing,Bengaluru,72739,0,A
84,Employee_84,42,Marketing,Delhi,111951,21,C
85,Employee_85,53,Finance,Kolkata,67753,29,C
86,Employee_86,56,HR,Bengaluru,80108,30,D
87,Employee_87,32,Marketing,Chennai,78225,7,A
88,Employee_88,40,Finance,Bengaluru,81346,15,C
89,Employee_89,50,Sales,Nagpur,113555,28,D
90,Employee_90,31,Support,Pune,62196,6,C
91,Employee_91,26,Operations,Bengaluru,113184,3,B
92,Employee_92,33,HR,Mumbai,31057,11,D
93,Employee_93,60,Operations,Pune,84692,36,B
94,Employee_94,45,Sales,Kolkata,56979,23,A
95,Employee_95,27,Operations,Kolkata,53683,5,D
96,Employee_96,24,Marketing,Bengaluru,145254,3,D
97,Employee_97,29,Operations,Nagpur,112500,4,C
98,Employee_98,49,Marketing,Kolkata,133864,24,D
99,Employee_99,31,Support,Nagpur,83991,8,B
100,Employee_100,38,Operations,Nagpur,107149,16,C
